[Fri Apr 05 12:31:57 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/course, referer: http://localhost.dev:8080/
[Fri Apr 05 12:31:57 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:03:37 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:03:37 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:03:37 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:03:37 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:03:37 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:03:37 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:03:37 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:03:37 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:03:37 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:03:37 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:03:37 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:03:37 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:03:37 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:03:37 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:04:24 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:04:24 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:04:24 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:04:24 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:04:24 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:04:24 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:04:24 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:04:24 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:04:24 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:04:24 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:04:24 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:04:24 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:04:24 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:04:24 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:05:03 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:05:03 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:05:03 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:05:03 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:05:03 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:05:03 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:05:03 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:05:03 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:05:03 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:05:03 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:05:03 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:05:03 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:05:03 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:05:03 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:05:04 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:05:04 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:05:04 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:05:04 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:05:04 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:05:04 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:05:04 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:05:04 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:05:04 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:05:04 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:05:04 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:05:04 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:05:04 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:05:04 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:06:32 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:06:32 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:06:32 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:06:32 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:06:32 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:06:32 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:06:32 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:06:32 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:06:32 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:06:32 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:06:32 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:06:32 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:06:32 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:06:32 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:07:03 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:07:03 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:07:03 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:07:03 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
